scene,floor,question,choices,question_formatted,answer,label
00166-RaYrxWt5pR1,0,I'm looking for my laptop. It is on the bedroom dresser?,"['It is there', '(Do not choose this option)', '(Do not choose this option)', 'It is not there']",I'm looking for my laptop. It is on the bedroom dresser? A) It is there B) (Do not choose this option) C) (Do not choose this option) D) It is not there. Answer:,D,location
00167-yogvKWUrdnw,0,I'm trying to remember where I placed the large wall clock. Where is it?,"['In the dining area', 'In the kitchen', 'In the sunroom', 'In the living area near the fireplace']",I'm trying to remember where I placed the large wall clock. Where is it? A) In the dining area B) In the kitchen C) In the sunroom D) In the living area near the fireplace. Answer:,D,state
00167-yogvKWUrdnw,0,I'm looking for the fruit bowl.,"['On the kitchen island', 'On the dining table', 'On the coffee table', 'In the sunroom']",I'm looking for the fruit bowl. A) On the kitchen island B) On the dining table C) On the coffee table D) In the sunroom. Answer:,A,location
00167-yogvKWUrdnw,1,I'm looking for the black towel. Is it in the bathroom?,"['(Do not choose this option)', '(Do not choose this option)', 'Yes', 'No']",I'm looking for the black towel. Is it in the bathroom? A) (Do not choose this option) B) (Do not choose this option) C) Yes D) No. Answer:,D,count
00170-S3r45BMWy6H,0,Is the ironing board set up in the room with the checkered floor?,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",Is the ironing board set up in the room with the checkered floor? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,A,count
00170-S3r45BMWy6H,0,How many chairs are around the dining table in the room with the wooden floor and a red rug?,"['Six', 'Four', 'Eight', 'Two']",How many chairs are around the dining table in the room with the wooden floor and a red rug? A) Six B) Four C) Eight D) Two. Answer:,A,count
00171-mWqBmEyXcXN,1,I need to find light blue pillow. Where is it currently located?,"['In the bedroom', 'In the bathroom', 'In the hallway', 'In the home office space']",I need to find light blue pillow. Where is it currently located? A) In the bedroom B) In the bathroom C) In the hallway D) In the home office space. Answer:,A,existence
00171-mWqBmEyXcXN,1,How many of the shelves on the two bookshelves are completely empty?,"['One', 'None', 'Four', 'Two']",How many of the shelves on the two bookshelves are completely empty? A) One B) None C) Four D) Two. Answer:,B,location
00176-wcJYziD5pmF,0,I need to find the white woven basket. Where is it right now?,"['Next to the bedroom nightstand', 'On the dining table', 'On the kitchen countertop', 'Near the living area sofa']",I need to find the white woven basket. Where is it right now? A) Next to the bedroom nightstand B) On the dining table C) On the kitchen countertop D) Near the living area sofa. Answer:,A,location
00176-wcJYziD5pmF,0,I'm looking for the banjo that I usually keep around.,"['Resting in the living area', 'On the bedroom wall', 'Hanging in the hallway', 'Leaning against the kitchen cabinets']",I'm looking for the banjo that I usually keep around. A) Resting in the living area B) On the bedroom wall C) Hanging in the hallway D) Leaning against the kitchen cabinets. Answer:,B,existence
00176-wcJYziD5pmF,2,I remember leaving the panama hat somewhere.,"['It is on top of the bedroom door', 'It is on one of the beds', 'It is on one of the armchairs', 'It is in one of the bedroom closets']",I remember leaving the panama hat somewhere. A) It is on top of the bedroom door B) It is on one of the beds C) It is on one of the armchairs D) It is in one of the bedroom closets. Answer:,A,existence
00178-yqNxxJnA3iL,1,Is the green curtain in the bedroom closed?,"['(Do not choose this option)', '(Do not choose this option)', 'No, it is open', 'Yes, it is closed']","Is the green curtain in the bedroom closed? A) (Do not choose this option) B) (Do not choose this option) C) No, it is open D) Yes, it is closed. Answer:",C,count
00181-qkkRnWghK8e,0,I'm trying to remember where I placed the fruit bowl.,"['On the living room coffee table', 'On the bedroom dresser', 'On the kitchen counter', 'On the dining room table']",I'm trying to remember where I placed the fruit bowl. A) On the living room coffee table B) On the bedroom dresser C) On the kitchen counter D) On the dining room table. Answer:,D,location
00185-NjyeoK5BLx3,0,Are the bar stools tucked under the kitchen island?,"['No', 'Yes', '(Do not choose this option)', '(Do not choose this option)']",Are the bar stools tucked under the kitchen island? A) No B) Yes C) (Do not choose this option) D) (Do not choose this option). Answer:,B,location
00186-7UdY7HiDnUi,0,I seem to have misplaced my colorful throw pillows. Where are they currently located?,"['On the dining chairs', 'On the sofa', 'On the bed', 'In the hallway']",I seem to have misplaced my colorful throw pillows. Where are they currently located? A) On the dining chairs B) On the sofa C) On the bed D) In the hallway. Answer:,B,location
00187-GCCrNuhZ9WY,0,I'm expecting guests and need to check if the guest room is ready. Is the red pillow on the bed?,"['(Do not choose this option)', 'No', '(Do not choose this option)', 'Yes']",I'm expecting guests and need to check if the guest room is ready. Is the red pillow on the bed? A) (Do not choose this option) B) No C) (Do not choose this option) D) Yes. Answer:,D,location
00187-GCCrNuhZ9WY,0,Where did I put the woven brown rug?,"['Kitchen entrance', 'Bathroom entrance', 'Living room entrance', 'Bedroom entrance']",Where did I put the woven brown rug? A) Kitchen entrance B) Bathroom entrance C) Living room entrance D) Bedroom entrance. Answer:,D,state
00193-wwX4MFiTTrt,0,Did I put the fruit bar on the kitchen island?,"['No, not yet', '(Do not choose this option)', '(Do not choose this option)', 'Yes, you did']","Did I put the fruit bar on the kitchen island? A) No, not yet B) (Do not choose this option) C) (Do not choose this option) D) Yes, you did. Answer:",A,location
00193-wwX4MFiTTrt,1,I need to retrieve a painting from storage. Which one is placed on the left top of the wooden dresser near the staircase?,"['A landscape painting', 'An abstract painting', 'A portrait of a person', ""A painting of a Buddha's face""]",I need to retrieve a painting from storage. Which one is placed on the left top of the wooden dresser near the staircase? A) A landscape painting B) An abstract painting C) A portrait of a person D) A painting of a Buddha's face. Answer:,D,state
00202-yVbpFay8gTU,0,I'm trying to remember where I placed the decorative vase with branches.,"['On the coffee table in the living room', 'On the kitchen counter', 'On the dining table', 'On the sideboard in the hallway']",I'm trying to remember where I placed the decorative vase with branches. A) On the coffee table in the living room B) On the kitchen counter C) On the dining table D) On the sideboard in the hallway. Answer:,D,location
00202-yVbpFay8gTU,0,I'm expecting guests and need to set the table. How many chairs are missing around the dining table?,"['Four', 'Six', 'Two', 'None']",I'm expecting guests and need to set the table. How many chairs are missing around the dining table? A) Four B) Six C) Two D) None. Answer:,C,existence
00202-yVbpFay8gTU,1,I want to shower now. Are there towels on the bathtub?,"['No, there is none', 'Yes, there are', '(Do not choose this option)', '(Do not choose this option)']","I want to shower now. Are there towels on the bathtub? A) No, there is none B) Yes, there are C) (Do not choose this option) D) (Do not choose this option). Answer:",B,location
00202-yVbpFay8gTU,1,Did I put away the teepee or is it still on the bedroom floor?,"['(Do not choose this option)', 'It is still there', '(Do not choose this option)', 'It is not seen anywhere any more']",Did I put away the teepee or is it still on the bedroom floor? A) (Do not choose this option) B) It is still there C) (Do not choose this option) D) It is not seen anywhere any more. Answer:,B,existence
00203-VoVGtfYrpuQ,0,I'm trying to remember where I placed the decorative wooden bowl. Is it on the dining table?,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",I'm trying to remember where I placed the decorative wooden bowl. Is it on the dining table? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,C,identification
00203-VoVGtfYrpuQ,0,Is the air conditioning unit in the dining area still on?,"['(Do not choose this option)', ""Yes, it's on"", '(Do not choose this option)', ""No, it's not on""]","Is the air conditioning unit in the dining area still on? A) (Do not choose this option) B) Yes, it's on C) (Do not choose this option) D) No, it's not on. Answer:",D,location
00204-gxttMtT5ZGK,0,I need to find my framed collection of dollar bills. Where did I leave it?,"['On top of the storage shelves', 'On the workbench', 'Inside the glass cabinet', 'Leaning against the wall on the floor']",I need to find my framed collection of dollar bills. Where did I leave it? A) On top of the storage shelves B) On the workbench C) Inside the glass cabinet D) Leaning against the wall on the floor. Answer:,D,count
00204-gxttMtT5ZGK,0,I'm trying to remember where I placed the skeleton decoration after last Halloween. Can you locate it for me?,"['On the workbench', 'Near the entrance door', 'In the corner of the room', 'On top of the storage shelves']",I'm trying to remember where I placed the skeleton decoration after last Halloween. Can you locate it for me? A) On the workbench B) Near the entrance door C) In the corner of the room D) On top of the storage shelves. Answer:,D,existence
00204-gxttMtT5ZGK,1,Did I Ieave anything on the bench near the front entrance?,"['A hat', 'Nothing', 'A jacket', 'A package']",Did I Ieave anything on the bench near the front entrance? A) A hat B) Nothing C) A jacket D) A package. Answer:,B,state
00204-gxttMtT5ZGK,1,Is my backpack on the kitchen island?,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",Is my backpack on the kitchen island? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,C,existence
00204-gxttMtT5ZGK,2,Where is the floor lamp?,"['In the bathroom', 'Next to the armchair', 'Next to the TV', 'Next to the dining table']",Where is the floor lamp? A) In the bathroom B) Next to the armchair C) Next to the TV D) Next to the dining table. Answer:,B,state
00204-gxttMtT5ZGK,2,"How many white pillows are on the bed with the ""Sweetpea"" wall decoration?","['Four', 'Two', 'Three', 'One']","How many white pillows are on the bed with the ""Sweetpea"" wall decoration? A) Four B) Two C) Three D) One. Answer:",D,location
00207-FRQ75PjD278,0,I need to find my large red storage bag. Where did I put it last?,"['On top of the bedroom closet', 'Next to the kitchen closet', 'In the bathroom', 'Near the living room window']",I need to find my large red storage bag. Where did I put it last? A) On top of the bedroom closet B) Next to the kitchen closet C) In the bathroom D) Near the living room window. Answer:,A,location
00208-SQqGpSHzfSr,0,I'm expecting a package to be delivered and left by the entrance. Is there a small parcel near the front door?,"['(Do not choose this option)', 'Yes, there is a parcel.', 'No, there is no parcel.', '(Do not choose this option)']","I'm expecting a package to be delivered and left by the entrance. Is there a small parcel near the front door? A) (Do not choose this option) B) Yes, there is a parcel. C) No, there is no parcel. D) (Do not choose this option). Answer:",C,existence
00213-mkvHBa3mEEk,1,Where did I put the blue teapot?,"['On the coffee table', 'On the kitchen island', 'On the kitchen countertop', 'On the stove']",Where did I put the blue teapot? A) On the coffee table B) On the kitchen island C) On the kitchen countertop D) On the stove. Answer:,C,location
00217-qz3829g1Lzf,0,Did I leave any pot on the stove?,"['Two', 'None', 'Three', 'One']",Did I leave any pot on the stove? A) Two B) None C) Three D) One. Answer:,B,count
00217-qz3829g1Lzf,0,How many wooden chairs we have at the dining table right now?,"['Four', 'Eight', 'Six', 'Two']",How many wooden chairs we have at the dining table right now? A) Four B) Eight C) Six D) Two. Answer:,C,location
00217-qz3829g1Lzf,1,I need to find two gray bags with beddings. Is it in the room with the wooden dresser and the quilted bedspread?,"['No', 'Yes', '(Do not choose this option)', '(Do not choose this option)']",I need to find two gray bags with beddings. Is it in the room with the wooden dresser and the quilted bedspread? A) No B) Yes C) (Do not choose this option) D) (Do not choose this option). Answer:,A,existence
00218-fQHGxvurx9L,0,Where is the roomba?,"['In the bedroom', 'Near the front door', 'Next to TV', 'In the dining area']",Where is the roomba? A) In the bedroom B) Near the front door C) Next to TV D) In the dining area. Answer:,D,location
00218-fQHGxvurx9L,0,I forgot if there is any drawer under the bed with light-colored bedding.,"['There are drawers', '(Do not choose this option)', 'There is none', '(Do not choose this option)']",I forgot if there is any drawer under the bed with light-colored bedding. A) There are drawers B) (Do not choose this option) C) There is none D) (Do not choose this option). Answer:,A,existence
00224-8m2Sk2sC3DR,0,I remember lefting something on the bedroom bench. What is it?,"['A tray with a mug and other things', 'A fruit bowl with pears', 'A soccer ball with white stripes', 'A jacket with black stitches']",I remember lefting something on the bedroom bench. What is it? A) A tray with a mug and other things B) A fruit bowl with pears C) A soccer ball with white stripes D) A jacket with black stitches. Answer:,A,existence
00224-8m2Sk2sC3DR,1,I'm looking for the white woven ottoman. Where it is?,"['In the hallway next to dresser', 'In the bathroom', 'In the bedroom', 'Next to the coffee tabel']",I'm looking for the white woven ottoman. Where it is? A) In the hallway next to dresser B) In the bathroom C) In the bedroom D) Next to the coffee tabel. Answer:,D,location
00224-8m2Sk2sC3DR,1,Is the balcony door in the main bedroom closed?,"['No, the door is open', 'Yes, it is closed', '(Do not choose this option)', '(Do not choose this option)']","Is the balcony door in the main bedroom closed? A) No, the door is open B) Yes, it is closed C) (Do not choose this option) D) (Do not choose this option). Answer:",B,existence
00226-8mXffaQTtmP,0,Which towel is there in the kitchen?,"['Green', 'White', 'Black', 'Red']",Which towel is there in the kitchen? A) Green B) White C) Black D) Red. Answer:,A,identification
00227-bvdRzJBgJyg,0,Are the boots near the front door?,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",Are the boots near the front door? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,A,location
00227-bvdRzJBgJyg,0,Is the lamp under the wall mirror on?,"['No, it is off', '(Do not choose this option)', 'Yes, it is on', '(Do not choose this option)']","Is the lamp under the wall mirror on? A) No, it is off B) (Do not choose this option) C) Yes, it is on D) (Do not choose this option). Answer:",A,state
00227-bvdRzJBgJyg,1,Which rug is in the bathroom?,"['Yellow one', 'Green one', 'White one', 'Blue one']",Which rug is in the bathroom? A) Yellow one B) Green one C) White one D) Blue one. Answer:,A,identification
00228-d5faFfQRphr,0,Is the television in the main bedroom turned off?,"['(Do not choose this option)', '(Do not choose this option)', 'No, it is on', 'Yes, it is off']","Is the television in the main bedroom turned off? A) (Do not choose this option) B) (Do not choose this option) C) No, it is on D) Yes, it is off. Answer:",D,existence
00231-4h4JxvG3cip,0,"Did I leave a pillow under the poster, on the chair I think?","['Yes, it is blue', 'Yes, it is white', 'Yes, it is yellow', 'No, there is none']","Did I leave a pillow under the poster, on the chair I think? A) Yes, it is blue B) Yes, it is white C) Yes, it is yellow D) No, there is none. Answer:",A,identification
00240-q9CAdKfvar2,1,How many red chairs are there around the dining table?,"['Three', 'Four', 'Two', 'Five']",How many red chairs are there around the dining table? A) Three B) Four C) Two D) Five. Answer:,B,state
00245-741Fdj7NLF9,0,I was playing darts last night and can't recall where I left the board.,"['It is in the bedroom', 'It is in the dining room', 'It is in the living room', 'It is at the porch']",I was playing darts last night and can't recall where I left the board. A) It is in the bedroom B) It is in the dining room C) It is in the living room D) It is at the porch. Answer:,D,existence
00245-741Fdj7NLF9,0,Can you check if I left the lamps on in the bedroom with gray bedding?,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",Can you check if I left the lamps on in the bedroom with gray bedding? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,D,count
00246-mscxX4KEBcB,0,Which fruit is at the top of the fruit bowl?,"['Apples', 'Grapes', 'Bananas', 'Pears']",Which fruit is at the top of the fruit bowl? A) Apples B) Grapes C) Bananas D) Pears. Answer:,C,location
00248-PM558qFsyi8,0,Is the television in the bedroom still on?,"['It is on', '(Do not choose this option)', '(Do not choose this option)', 'It is off']",Is the television in the bedroom still on? A) It is on B) (Do not choose this option) C) (Do not choose this option) D) It is off. Answer:,A,state
00256-92vYG1q49FY,0,Is the air conditioning at the entrance turned off?,"['It is off', '(Do not choose this option)', 'It is on', '(Do not choose this option)']",Is the air conditioning at the entrance turned off? A) It is off B) (Do not choose this option) C) It is on D) (Do not choose this option). Answer:,A,identification
00257-j2DKmTV5TPV,0,I want to take a shower. Is there shampoo in the shower?,"['No', 'Yes', '(Do not choose this option)', '(Do not choose this option)']",I want to take a shower. Is there shampoo in the shower? A) No B) Yes C) (Do not choose this option) D) (Do not choose this option). Answer:,B,state
00258-2Pc8W48bu21,0,I want to take a shower. Is there shampoo in the shower?,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",I want to take a shower. Is there shampoo in the shower? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,C,state
00258-2Pc8W48bu21,1,I need to retrieve my pool cues. How many are on the pool table?,"['Four', 'Three', 'Two', 'One']",I need to retrieve my pool cues. How many are on the pool table? A) Four B) Three C) Two D) One. Answer:,B,existence
00258-2Pc8W48bu21,1,Which channel is being shown on the TV?,"['Sports', 'News', 'Drama', 'It is not on']",Which channel is being shown on the TV? A) Sports B) News C) Drama D) It is not on. Answer:,A,existence
00259-4J8N2Ah1a6o,0,Is there anything left on the white chair next to TV?,"['Jacket', 'Backpack', 'Laptop', '(Do not choose this option)']",Is there anything left on the white chair next to TV? A) Jacket B) Backpack C) Laptop D) (Do not choose this option). Answer:,D,count
00262-1xGrZPxG1Hz,0,Is the wooden chair left in a room?,"['Yes, bedroom', 'Yes, dining room', 'Yes, living room', 'No']","Is the wooden chair left in a room? A) Yes, bedroom B) Yes, dining room C) Yes, living room D) No. Answer:",A,identification
00262-1xGrZPxG1Hz,1,Are the candles by the entrace put out?,"['Yes, they are out', 'No, the flame still on', '(Do not choose this option)', '(Do not choose this option)']","Are the candles by the entrace put out? A) Yes, they are out B) No, the flame still on C) (Do not choose this option) D) (Do not choose this option). Answer:",A,existence
00268-mHJxL9jnCox,0,How many bookshelves are in the room with the piano?,"['None', 'Four', 'Six', 'Two']",How many bookshelves are in the room with the piano? A) None B) Four C) Six D) Two. Answer:,B,location
00268-mHJxL9jnCox,0,I'm trying to remember where I placed the wall clock. Is it to the left or right of the fireplace?,"['Straight above', '(Do not choose this option)', 'Left', 'Right']",I'm trying to remember where I placed the wall clock. Is it to the left or right of the fireplace? A) Straight above B) (Do not choose this option) C) Left D) Right. Answer:,C,state
00268-mHJxL9jnCox,1,Do we still have some paper towel?,"['No', 'Yes, on the sofa', 'Yes, on the dining table', 'Yes, in the kitchen']","Do we still have some paper towel? A) No B) Yes, on the sofa C) Yes, on the dining table D) Yes, in the kitchen. Answer:",D,count
00273-8DDKELpgD99,0,Are the decorative candles on the mantelpiece above the fireplace?,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",Are the decorative candles on the mantelpiece above the fireplace? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,B,state
00273-8DDKELpgD99,0,I need to replace the rugs. Which one is at the entrance door?,"['Gray', 'Red', 'Wood', 'Brown']",I need to replace the rugs. Which one is at the entrance door? A) Gray B) Red C) Wood D) Brown. Answer:,A,location
00273-8DDKELpgD99,1,I need to retrieve my lock box. Where did I leave it?,"['On the desk in the hallway', 'On the blue chest in the living room', 'On the dresser in the bedroom', 'On the kitchen counter']",I need to retrieve my lock box. Where did I leave it? A) On the desk in the hallway B) On the blue chest in the living room C) On the dresser in the bedroom D) On the kitchen counter. Answer:,B,existence
00275-4dbCzNN5L5t,0,"Is the ""Happy Birthday"" balloon still floating in the room with the toy car?","['Yes', '(Do not choose this option)', 'No', '(Do not choose this option)']","Is the ""Happy Birthday"" balloon still floating in the room with the toy car? A) Yes B) (Do not choose this option) C) No D) (Do not choose this option). Answer:",A,identification
00275-4dbCzNN5L5t,0,A guest is coming; are there pillows on the guest bed?,"['There are a bunch of them', 'There are two', 'There is one', 'There is none']",A guest is coming; are there pillows on the guest bed? A) There are a bunch of them B) There are two C) There is one D) There is none. Answer:,D,location
00280-FgswoxWb3uN,1,I might forget to close the bathroom door inside the bedroom.,"['It is open', '(Do not choose this option)', 'It is closed', '(Do not choose this option)']",I might forget to close the bathroom door inside the bedroom. A) It is open B) (Do not choose this option) C) It is closed D) (Do not choose this option). Answer:,A,state
00281-mj5sKX44BmS,0,Is there still any soap at the bathroom sink?,"['Yes', 'No', '(Do not choose this option)', '(Do not choose this option)']",Is there still any soap at the bathroom sink? A) Yes B) No C) (Do not choose this option) D) (Do not choose this option). Answer:,B,existence
00282-8nSVqHLMRwQ,0,I'm trying to remember where I placed the wooden chalkboard.,"['In the office on the desk', 'In the living room near the sofa', 'In the hallway by the entrance', 'In the kitchen near the oven']",I'm trying to remember where I placed the wooden chalkboard. A) In the office on the desk B) In the living room near the sofa C) In the hallway by the entrance D) In the kitchen near the oven. Answer:,D,state
00282-8nSVqHLMRwQ,0,Which soccer balls did I put in the kid's room?,"['Orange ones', 'Red ones', 'Blue ones', 'White ones']",Which soccer balls did I put in the kid's room? A) Orange ones B) Red ones C) Blue ones D) White ones. Answer:,A,existence
00285-QKGMrurUVbk,0,Where did I leave the big bag of Bounty paper towel?,"['It is next to bed', 'It is in the bathroom', 'It is in the kitchen', 'It is next to TV']",Where did I leave the big bag of Bounty paper towel? A) It is next to bed B) It is in the bathroom C) It is in the kitchen D) It is next to TV. Answer:,B,location
00285-QKGMrurUVbk,0,Where is the TV box installed?,"['Next to the dining table', 'In the bedroom', 'In the living room against the wall', 'In the storage room']",Where is the TV box installed? A) Next to the dining table B) In the bedroom C) In the living room against the wall D) In the storage room. Answer:,C,identification
00290-6HMiy15cxis,0,Is the piano lid put down?,"['(Do not choose this option)', 'Yes, it is down', '(Do not choose this option)', 'No, it is up']","Is the piano lid put down? A) (Do not choose this option) B) Yes, it is down C) (Do not choose this option) D) No, it is up. Answer:",B,location
00292-reHtN7VMWkg,0,Is the ceiling fan light in the porch off?,"['No, it is on', '(Do not choose this option)', 'Yes, it is off', '(Do not choose this option)']","Is the ceiling fan light in the porch off? A) No, it is on B) (Do not choose this option) C) Yes, it is off D) (Do not choose this option). Answer:",C,location
00292-reHtN7VMWkg,0,Are the black shades in the bedroom pulled down?,"['No, they are up', '(Do not choose this option)', '(Do not choose this option)', 'Yes, they are down']","Are the black shades in the bedroom pulled down? A) No, they are up B) (Do not choose this option) C) (Do not choose this option) D) Yes, they are down. Answer:",A,state
00297-jGdNyKqGZJw,0,I'm trying to remember where I placed my laptop. Is it on the outdoor table?,"['(Do not choose this option)', 'No', '(Do not choose this option)', 'Yes']",I'm trying to remember where I placed my laptop. Is it on the outdoor table? A) (Do not choose this option) B) No C) (Do not choose this option) D) Yes. Answer:,B,state
00299-bdp1XNEdvmW,0,How many sports balls are stored on the rack in the hallway?,"['Two', 'Five', 'Three', 'Four']",How many sports balls are stored on the rack in the hallway? A) Two B) Five C) Three D) Four. Answer:,C,existence
00299-bdp1XNEdvmW,0,Are the monitors left on?,"['No, they are both off', 'Yes, one of them is on', '(Do not choose this option)', 'Yes, both of them are on']","Are the monitors left on? A) No, they are both off B) Yes, one of them is on C) (Do not choose this option) D) Yes, both of them are on. Answer:",B,count
00299-bdp1XNEdvmW,1,Is there any vegetable left on the cutting board?,"['Potatoes', 'Lettuces', 'Some tomatos', 'None']",Is there any vegetable left on the cutting board? A) Potatoes B) Lettuces C) Some tomatos D) None. Answer:,D,state
00301-JiHGQpwKUvd,0,How many bar stools are there at the kitchen counter?,"['One', 'Four', 'Three', 'Two']",How many bar stools are there at the kitchen counter? A) One B) Four C) Three D) Two. Answer:,C,existence
00302-JFgrz9MNz4b,0,I'm trying to find the dartboard for our game night.,"['In the living room', 'In the dining room', 'In the bedroom', 'In the workout room']",I'm trying to find the dartboard for our game night. A) In the living room B) In the dining room C) In the bedroom D) In the workout room. Answer:,A,count
00302-JFgrz9MNz4b,1,What is left on the chair next to the piano?,"['Potatoes', 'Nothing', 'Jacket', 'Toy']",What is left on the chair next to the piano? A) Potatoes B) Nothing C) Jacket D) Toy. Answer:,B,location
00302-JFgrz9MNz4b,2,Which pillow is left on the lower bunker bed?,"['Black one', 'Green one', 'White one', 'Yellow one']",Which pillow is left on the lower bunker bed? A) Black one B) Green one C) White one D) Yellow one. Answer:,B,identification
00303-ghWQ5kHV97i,0,Does the kitchen island have any bar stools for seating?,"['Two stools', 'No stools', 'Three stools', 'One stool']",Does the kitchen island have any bar stools for seating? A) Two stools B) No stools C) Three stools D) One stool. Answer:,C,identification
00303-ghWQ5kHV97i,0,Is the bedroom wardrobe door closed?,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",Is the bedroom wardrobe door closed? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,A,existence
00304-X6Pct1msZv5,0,Is the air conditioning in the bedroom with flower painting turned on?,"['(Do not choose this option)', 'Yes, it is on', '(Do not choose this option)', 'No, it is off']","Is the air conditioning in the bedroom with flower painting turned on? A) (Do not choose this option) B) Yes, it is on C) (Do not choose this option) D) No, it is off. Answer:",B,state
00306-Y4L8fjz2yH7,0,Is there any shampoo in the shower already?,"['(Do not choose this option)', '(Do not choose this option)', 'No', 'Yes']",Is there any shampoo in the shower already? A) (Do not choose this option) B) (Do not choose this option) C) No D) Yes. Answer:,D,state
00306-Y4L8fjz2yH7,0,Where is the standing mirror?,"['In the hallway', 'In the bedroom', 'Next to TV', 'Near the entrance door']",Where is the standing mirror? A) In the hallway B) In the bedroom C) Next to TV D) Near the entrance door. Answer:,B,existence
00306-Y4L8fjz2yH7,1,I am trying to find some cloth hangers.,"['In the bathroom', 'On the bookshelf', 'On the bed', 'By the digital piano']",I am trying to find some cloth hangers. A) In the bathroom B) On the bookshelf C) On the bed D) By the digital piano. Answer:,D,location
00310-WnvnMQh4eEa,0,I need to find the large woven basket. Where did I leave it last?,"['In the corner of bathroom', 'By the bookshelf', 'Next to bed', 'Under the small white desk']",I need to find the large woven basket. Where did I leave it last? A) In the corner of bathroom B) By the bookshelf C) Next to bed D) Under the small white desk. Answer:,B,location
00313-PE6kVEtrxtj,0,I am looking for the stack of magazines I left somewhere in the living room.,"['On the red chair', 'On the coffee table', 'Under the TV', 'On the dining table']",I am looking for the stack of magazines I left somewhere in the living room. A) On the red chair B) On the coffee table C) Under the TV D) On the dining table. Answer:,C,location
00315-We1N7vBtyGm,0,I'm trying to remember where I placed the portable air purifier.,"['In the storage room near the window', 'Near the window with green curtains', 'In the room with the checkered floor', 'Next to the wood-burning stove']",I'm trying to remember where I placed the portable air purifier. A) In the storage room near the window B) Near the window with green curtains C) In the room with the checkered floor D) Next to the wood-burning stove. Answer:,A,location
00315-We1N7vBtyGm,1,Is there already some shampoo in the shower?,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",Is there already some shampoo in the shower? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,B,location
00323-yHLr6bvWsVm,0,Does the dining table have any fruit bowl on it?,"['(Do not choose this option)', '(Do not choose this option)', 'No', 'Yes']",Does the dining table have any fruit bowl on it? A) (Do not choose this option) B) (Do not choose this option) C) No D) Yes. Answer:,C,existence
00324-DoSbsoo4EAg,0,Is there already some shampoo at the shower?,"['No', 'Yes', '(Do not choose this option)', '(Do not choose this option)']",Is there already some shampoo at the shower? A) No B) Yes C) (Do not choose this option) D) (Do not choose this option). Answer:,A,existence
00326-u9rPN5cHWBg,0,Are the bedroom lamps on?,"['(Do not choose this option)', 'No, they are off', 'Yes, they are on', '(Do not choose this option)']","Are the bedroom lamps on? A) (Do not choose this option) B) No, they are off C) Yes, they are on D) (Do not choose this option). Answer:",C,existence
00327-xgLmjqzoAzF,0,Where did I leave the black suitcases?,"['In the laundry room', 'In the bedroom', 'In the living room', 'In the hallway closet']",Where did I leave the black suitcases? A) In the laundry room B) In the bedroom C) In the living room D) In the hallway closet. Answer:,D,state
00327-xgLmjqzoAzF,0,I was playing pool with friends. Are the balls put away from the table?,"['(Do not choose this option)', '(Do not choose this option)', 'No', 'Yes']",I was playing pool with friends. Are the balls put away from the table? A) (Do not choose this option) B) (Do not choose this option) C) No D) Yes. Answer:,D,location
00330-WhNyDTnd9g5,0,Are the pillows left on the porch chair?,"['Yes', 'No', '(Do not choose this option)', '(Do not choose this option)']",Are the pillows left on the porch chair? A) Yes B) No C) (Do not choose this option) D) (Do not choose this option). Answer:,A,state
00330-WhNyDTnd9g5,2,Is the curtain shade pulled down in the kid's room?,"['Yes, it is down', 'No, it is up', '(Do not choose this option)', '(Do not choose this option)']","Is the curtain shade pulled down in the kid's room? A) Yes, it is down B) No, it is up C) (Do not choose this option) D) (Do not choose this option). Answer:",A,existence
00331-gGMMut83nsX,0,IHow many bar stools are at the kitchen counter?,"['Five', 'Four', 'Three', 'Two']",IHow many bar stools are at the kitchen counter? A) Five B) Four C) Three D) Two. Answer:,C,state
00331-gGMMut83nsX,0,Is the air conditioning in the dining space still on?,"['(Do not choose this option)', 'No, it is off', '(Do not choose this option)', 'Yes, it is still on']","Is the air conditioning in the dining space still on? A) (Do not choose this option) B) No, it is off C) (Do not choose this option) D) Yes, it is still on. Answer:",D,count
